iso3,year,intentional_homicides
GRL,2009,17.6923825446954
GRL,2008,14.11905896472
GRL,2007,14.0889718572787
GRL,2006,14.064079462049
GRL,2005,17.559416676178
GRL,2004,19.3299535202481
GRL,2003,8.8087876465562
GRL,2002,21.2044105173876
GRL,2001,30.135966389534
GRL,2000,23.1281745643453
GRL,1999,19.59753783661
GRL,1998,10.6857585552854
GRL,1997,19.6080178967727
GRL,1996,5.35723852211647
GRL,1995,19.6993167918767
GRL,1994,10.762331838565
GRL,1993,21.5213823901289
GRL,1992,23.317130916722
GRD,2023,13.6657527694502
GRD,2022,6.84269499542395
GRD,2021,4.28494911622925
GRD,2020,12.0335909094816
GRD,2019,13.7953035613438
GRD,2018,10.3724576674071
GRD,2017,10.3951904918658
GRD,2016,9.55441674628681
GRD,2015,5.23213226830374
GRD,2014,7.00945838791219
GRD,2013,5.28694916598377
GRD,2012,12.4141539089067
GRD,2011,3.56891121441126
GRD,2010,8.96169770401305
GRD,2009,6.29190860553329
GRD,2008,14.427932477276
GRD,2007,9.95281461073185
GRD,2006,10.8957683559648
GRD,2005,10.0241947609913
GRD,2004,5.48834869308697
GRD,2003,8.26567723448808
GRD,2002,12.9145930288872
GRD,2001,5.55622436033967
GRD,2000,13.9598514671804
GUM,2019,4.32611490161179
GUM,2011,2.40178212233477
GUM,2010,1.80156916674423
GUM,2009,3.00891239852443
GUM,2008,0.603525797710223
GUM,2007,0.605081474220504
GUM,2006,6.67317807072356
GUM,2005,4.25880126912278
GUM,2004,5.4941868450853
GUM,2003,4.90386884602771
GUM,2002,1.23217201121277
GUM,2001,4.95879550857097
GUM,2000,1.24949239371505
GTM,2023,23.3657267272051
GTM,2022,22.0474401521257
GTM,2021,20.2458705569498
GTM,2020,18.1882859775834
GTM,2019,25.9415998284592
GTM,2018,28.9035441420162
GTM,2017,32.8054740415143
GTM,2014,33.4975903480006
GTM,2013,33.5015723155484
GTM,2012,34.1624967821479
GTM,2011,38.4055692334411
GTM,2010,41.1031293722721
GTM,2009,45.7103110094951
GTM,2008,45.1519299292567
GTM,2007,42.3453198203345
GTM,2006,44.0248234172562
GTM,2005,40.7866100416894
GTM,2004,35.1905874431052
GTM,2003,33.8260706875462
GTM,2002,29.6482816428349
GTM,2001,26.9854300399802
GTM,2000,24.8256222306266
GTM,1999,23.2426519734587
GTM,1998,29.7150274998665
GTM,1997,36.8216098457559
GTM,1996,34.1946514708495
GTM,1995,31.6106008380106
GTM,1994,32.249015367069
GTM,1993,33.0376188660244
GTM,1992,28.0290411951818
GNB,2017,1.11876398954435
GNB,2016,3.49365287883821
GUY,2023,19.1201580922439
GUY,2022,15.94378052595
GUY,2021,16.0641191344505
GUY,2020,19.4431699054406
GUY,2019,16.8386645453251
GUY,2018,14.0230217590554
GUY,2017,14.9646346644701
GUY,2016,18.5973900789472
GUY,2015,19.6367594865976
GUY,2014,19.7552732658118
GUY,2013,20.6660742392051
GUY,2012,18.6255047478288
GUY,2011,17.4227001700724
GUY,2010,18.6851899182723
GUY,2009,15.5565660675394
GUY,2008,20.9380650710006
GUY,2007,15.1943455894448
GUY,2006,20.158992524703
GUY,2005,18.6617672956471
GUY,2004,17.1821756569231
GUY,2003,27.3882307923651
GUY,2002,18.7258070429986
GUY,2001,10.4646637736232
GUY,2000,9.93682272708255
GUY,1999,11.9034694035054
GUY,1998,14.7986047403991
GUY,1997,11.4136605774132
GUY,1996,11.5709390605975
GUY,1995,14.3725997593578
GUY,1994,14.2890880981819
GUY,1993,15.5385811681693
GUY,1992,14.0016615305016
GUY,1991,25.673220023507
GUY,1990,12.0017042420024
HTI,2023,41.1518089717388
HTI,2022,18.9766582756746
HTI,2021,14.1983189542019
HTI,2020,11.3840030566048
HTI,2018,6.77773609475147
HTI,2016,9.63317380185292
HTI,2015,10.1774724071475
HTI,2014,9.44739032712553
HTI,2013,10.1639909561024
HTI,2012,10.2584264457666
HTI,2011,9.21844574684968
HTI,2010,6.90584205676174
HTI,2009,6.17157780979269
HTI,2008,5.22517870924341
HTI,2007,5.18494241513337
HND,2023,31.4424316507577
HND,2022,34.9679353875888
HND,2021,38.2025965034663
HND,2020,35.7028493255269
HND,2019,41.0111655865032
HND,2018,37.9817721287217
HND,2017,40.2998017393682
HND,2016,54.7151729955654
HND,2015,55.7305404552518
HND,2014,64.9996731259012
HND,2013,72.3455871413622
HND,2012,82.2941714854712
HND,2011,83.1793333078082
HND,2010,74.5408954410341
HND,2009,64.4696634518731
HND,2008,55.6000203180321
HND,2007,45.7956895764454
HND,2006,40.7218024373527
HND,2005,42.9506250338895
HND,2004,49.8561822453764
HND,2003,57.211379965735
HND,2002,52.2131990441944
HND,2001,51.6129566869927
HND,2000,48.2838225250265
HND,1999,40.0439780684616
HND,1995,26.7264265382613
HND,1994,30.1554471915719
HND,1993,23.0954315392858
HND,1992,18.1185382601554
HND,1991,13.7357886112473
HND,1990,9.94948286192036
HKG,2023,0.376205815214825
HKG,2022,0.401826165982334
HKG,2021,0.307297589591109
HKG,2020,0.293715731634873
HKG,2019,0.320606459178181
HKG,2018,0.642467632514136
HKG,2017,0.322368700739292
HKG,2016,0.377969277712184
HKG,2015,0.298652959762826
HKG,2014,0.368877630379286
HKG,2013,0.853484868195093
HKG,2012,0.37494474772537
HKG,2011,0.237996256318888
HKG,2010,0.492845502651016
HKG,2009,0.665301477471795
HKG,2008,0.512770221894904
HKG,2007,0.258199816534686
HKG,2006,0.504971079584885
HKG,2005,0.492148352041243
HKG,2004,0.65329459731901
HKG,2003,0.758138341731295
HKG,2002,1.01152130091608
HKG,2001,0.974279249246982
HKG,2000,0.641344592361377
HKG,1999,0.952161516215953
HKG,1998,0.981394222302199
HKG,1997,1.58960869678035
HKG,1996,1.22174438441854
HKG,1995,1.18178366284457
HKG,1994,1.58880909076842
HKG,1993,1.45700653264127
HKG,1992,1.87514437960631
HKG,1991,1.63465642187213
HKG,1990,2.46376423250957
HUN,2023,0.722657964901225
HUN,2022,0.970642654757226
HUN,2021,0.772570691377117
HUN,2020,0.820558561392627
HUN,2019,0.66527835015882
HUN,2018,0.879849987623273
HUN,2017,1.63505483999481
HUN,2016,2.05901168254688
HUN,2015,2.24611505942905
HUN,2014,1.48030354739537
HUN,2013,1.55723130947025
HUN,2012,1.2504256741433
HUN,2011,1.45777335776427
HUN,2010,1.38288629112252
HUN,2009,1.38980848439085
HUN,2008,1.8069900965961
HUN,2007,1.53476927609169
HUN,2006,1.7313531031967
HUN,2005,1.62929455718258
HUN,2004,2.07222219853654
HUN,2003,2.25542422106006
HUN,2002,2.00227539364808
HUN,2001,2.49835492180838
HUN,2000,2.01165790099003
HUN,1999,2.47558769644657
HUN,1998,2.8190401090393
HUN,1997,2.8116665482167
HUN,1996,2.63049716881822
HUN,1995,2.86744240025079
HUN,1994,3.02709774730736
HUN,1993,2.87731718173541
HUN,1992,2.94075846885409
HUN,1991,2.95813060021337
HUN,1990,1.93617724055442
ISL,2023,1.29013114183057
ISL,2022,1.05164773481651
ISL,2021,0.536705993798362
ISL,2020,1.36383225954273
ISL,2019,0.277239086829896
ISL,2018,0.850210001870462
ISL,2017,0.873282362752761
ISL,2016,0.297997309084299
ISL,2015,0.906477233068894
ISL,2014,0.305331857562688
ISL,2013,0.308751086417885
ISL,2012,0.311681349455571
ISL,2011,0.940035157314884
ISL,2010,0.628618485155174
ISL,2009,0.31386137370846
ISL,2007,0.641744518298543
ISL,2006,0.0
ISL,2005,1.01066419166236
ISL,2002,1.39078673328535
ISL,2001,0.350812569614369
ISL,2000,1.77758816837315
ISL,1999,0.720855800005767
ISL,1997,0.737505277772144
ISL,1996,0.37180249851279
IND,2022,2.81530423021647
IND,2021,2.92249230234054
IND,2020,2.93529734667461
IND,2019,2.94997162020176
IND,2018,3.0299149142336
IND,2017,3.07665739913599
IND,2016,3.14894003612781
IND,2015,3.341278725169
IND,2014,3.60868879736221
IND,2013,3.54043488192346
IND,2012,3.71306379435684
IND,2011,3.77728016164146
IND,2010,3.73628378136533
IND,2009,3.7391329622536
IND,2008,3.80808186808269
IND,2007,3.80976850285027
IND,2006,3.83338811896998
IND,2005,3.9054234629053
IND,2004,4.09246015023157
IND,2003,3.96945564811633
IND,2002,4.16690817646815
IND,2001,4.30652763410509
IND,2000,4.55297901231507
IND,1999,4.60217795989072
IND,1998,4.83888188255162
IND,1997,4.74591109090452
IND,1996,4.7885099027111
IND,1995,4.83036026191718
IND,1994,5.04248055851768
IND,1993,5.19965773114987
IND,1992,5.50280867727189
IND,1991,5.49524644015231
IND,1990,5.10559748651998
IDN,2022,0.303768746039586
IDN,2004,0.62256871069078
IDN,2003,0.726511653296908
IDN,2000,1.02000302761334
IDN,1999,0.98119915381385
IDN,1998,0.837833916521102
IRN,2014,2.37540050451863
IRN,2013,2.53311940143072
IRN,2009,2.89702198565026
IRQ,2013,9.46375217111484
IRQ,2012,8.01370560566433
IRQ,2011,8.18993599583675
IRQ,2010,8.66796030041971
IRQ,2009,8.49684774933008
IRQ,2008,15.86412056276
IRQ,1994,6.29102354357219
IRQ,1993,5.82255427331476
IRQ,1992,7.63352730434032
IRQ,1991,6.59077667800485
IRQ,1990,6.64345798130851
IRL,2023,0.654270171245596
IRL,2022,0.861054139659655
IRL,2021,0.437512696568737
IRL,2020,0.622164323030526
IRL,2019,0.648627918850972
IRL,2018,0.779878238431558
IRL,2017,0.789978006388635
IRL,2016,0.694224869533058
IRL,2015,0.574164266695474
IRL,2014,1.00896508411924
IRL,2013,1.01628510386596
