iso3,year,asylum_seekers
KHM,2012,20
KHM,2011,45
KHM,2010,49
KHM,2009,30
KHM,2008,59
KHM,2007,237
KHM,2006,124
KHM,2005,65
KHM,2004,315
KHM,2003,44
KHM,2002,76
KHM,2001,1045
KHM,2000,162
CMR,2025,18553
CMR,2024,16034
CMR,2023,10288
CMR,2022,9247
CMR,2021,8018
CMR,2020,6809
CMR,2019,9930
CMR,2018,8092
CMR,2017,5765
CMR,2016,3237
CMR,2015,5356
CMR,2014,11736
CMR,2013,8324
CMR,2012,3122
CMR,2011,3289
CMR,2010,2378
CMR,2009,1313
CMR,2008,2221
CMR,2007,2149
CMR,2006,4160
CMR,2005,6766
CMR,2004,6123
CMR,2003,5675
CMR,2002,5308
CMR,2001,2577
CMR,2000,1633
CAN,2025,314469
CAN,2024,292055
CAN,2023,197961
CAN,2022,113066
CAN,2021,63144
CAN,2020,85352
CAN,2019,97017
CAN,2018,78766
CAN,2017,51859
CAN,2016,23946
CAN,2015,19631
CAN,2014,16699
CAN,2013,22145
CAN,2012,32647
CAN,2011,41835
CAN,2010,50998
CAN,2009,61167
CAN,2008,54187
CAN,2007,37509
CAN,2006,23575
CAN,2005,20533
CAN,2004,27276
CAN,2003,41570
CAN,2002,52755
CAN,2001,45795
CAN,2000,30170
CYM,2025,15
CYM,2024,15
CYM,2023,93
CYM,2022,242
CYM,2021,30
CYM,2020,28
CYM,2019,14
CYM,2018,27
CYM,2017,28
CYM,2016,24
CYM,2015,5
CYM,2014,0
CYM,2013,5
CYM,2010,5
CYM,2009,5
CAF,2025,8454
CAF,2024,8270
CAF,2023,32506
CAF,2022,470
CAF,2021,765
CAF,2020,285
CAF,2019,309
CAF,2018,397
CAF,2017,571
CAF,2016,310
CAF,2015,332
CAF,2014,408
CAF,2013,2635
CAF,2012,2603
CAF,2011,2447
CAF,2010,1213
CAF,2009,1213
CAF,2008,1447
CAF,2007,1970
CAF,2006,1903
CAF,2005,1956
CAF,2004,2748
CAF,2003,3419
CAF,2002,5345
CAF,2001,3667
CAF,2000,1735
TCD,2025,9371
TCD,2024,7779
TCD,2023,4916
TCD,2022,4953
TCD,2021,4705
TCD,2020,4568
TCD,2019,3756
TCD,2018,3467
TCD,2017,660
TCD,2016,1908
TCD,2015,2890
TCD,2014,1793
TCD,2013,303
TCD,2012,173
TCD,2011,162
TCD,2010,105
TCD,2009,59
TCD,2008,51
TCD,2007,44
TCD,2006,10
TCD,2005,63
TCD,2004,0
TCD,2003,162
TCD,2002,1033
TCD,2001,645
TCD,2000,544
CHL,2025,9561
CHL,2024,13345
CHL,2023,12694
CHL,2022,11896
CHL,2021,10159
CHL,2020,8069
CHL,2019,8521
CHL,2018,11993
CHL,2017,8462
CHL,2016,3218
CHL,2015,1055
CHL,2014,571
CHL,2013,416
CHL,2012,353
CHL,2011,356
CHL,2010,271
CHL,2009,498
CHL,2008,875
CHL,2007,507
CHL,2006,334
CHL,2005,101
CHL,2004,75
CHL,2003,48
CHL,2002,12
CHL,2001,60
CHL,2000,63
CHN,2025,482
CHN,2024,553
CHN,2023,699
CHN,2022,785
CHN,2021,785
CHN,2020,743
CHN,2019,644
CHN,2018,583
CHN,2017,691
CHN,2016,647
CHN,2015,672
CHN,2014,447
CHN,2013,374
CHN,2012,253
CHN,2011,26
CHN,2010,120
CHN,2009,39
CHN,2008,12
CHN,2007,59
CHN,2006,72
CHN,2005,68
CHN,2004,35
CHN,2003,39
CHN,2002,5
CHN,2001,0
CHN,2000,10
COL,2025,17421
COL,2024,29305
COL,2023,23842
COL,2022,22675
COL,2021,28920
COL,2020,19933
COL,2019,9094
COL,2018,2851
COL,2017,525
COL,2016,368
COL,2015,105
COL,2014,154
COL,2013,58
COL,2012,70
COL,2011,115
COL,2010,165
COL,2009,118
COL,2008,71
COL,2007,83
COL,2006,72
COL,2005,35
COL,2004,28
COL,2003,15
COL,2002,7
COL,2001,18
COL,2000,12
COM,2025,14
COM,2024,13
COM,2023,0
COM,2022,5
COM,2021,0
COD,2025,100112
COD,2024,1041
COD,2023,3106
COD,2022,2147
COD,2021,2218
COD,2020,1480
COD,2019,3192
COD,2018,5770
COD,2017,807
COD,2016,1324
COD,2015,978
COD,2014,1182
COD,2013,1453
COD,2012,1821
COD,2011,1131
COD,2010,920
COD,2009,637
COD,2008,5
COD,2007,96
COD,2006,93
COD,2005,139
COD,2004,348
COD,2003,441
COD,2002,391
COD,2001,299
COD,2000,143
COG,2025,8109
COG,2024,7714
COG,2023,6585
COG,2022,18356
COG,2021,13670
COG,2020,13622
COG,2019,14417
COG,2018,9176
COG,2017,7092
COG,2016,6672
COG,2015,4340
COG,2014,3192
COG,2013,2644
COG,2012,3315
COG,2011,3008
COG,2010,5518
COG,2009,4915
COG,2008,3250
COG,2007,4791
COG,2006,4287
COG,2005,3482
COG,2004,3230
COG,2003,3222
COG,2002,2754
COG,2001,2436
COG,2000,875
